Date,count
1/22/2020,28
1/23/2020,30
1/24/2020,36
1/25/2020,39
1/26/2020,52
1/27/2020,61
1/28/2020,107
1/29/2020,126
1/30/2020,143
1/31/2020,222
2/1/2020,284
2/2/2020,472
2/3/2020,623
2/4/2020,852
2/5/2020,1124
2/6/2020,1487
2/7/2020,2011
2/8/2020,2616
2/9/2020,3244
2/10/2020,3946
2/11/2020,4683
2/12/2020,5150
2/13/2020,6295
2/14/2020,8058
2/15/2020,9395
2/16/2020,10865
2/17/2020,12583
2/18/2020,14352
2/19/2020,16121
2/20/2020,18177
2/21/2020,18890
2/22/2020,22886
2/23/2020,23394
2/24/2020,25227
2/25/2020,27905
2/26/2020,30384
2/27/2020,33277
2/28/2020,36711
2/29/2020,39782
3/1/2020,42716
3/2/2020,45602
3/3/2020,48228
3/4/2020,51170
3/5/2020,53796
3/6/2020,55865
3/7/2020,58358
3/8/2020,60694
3/9/2020,62494
3/10/2020,64404
3/11/2020,67003
3/12/2020,68324
3/13/2020,70251
3/14/2020,72624
3/15/2020,76034
3/16/2020,78088
3/17/2020,80840
3/18/2020,83312
3/19/2020,84975
3/20/2020,87420
3/21/2020,91692
3/22/2020,97899
3/23/2020,98351
3/24/2020,108000
3/25/2020,113787
3/26/2020,122150
3/27/2020,130915
3/28/2020,139415
3/29/2020,149082
3/30/2020,164566
3/31/2020,178034
4/1/2020,193177
4/2/2020,210263
